sentence_AB
A: A group of kids is playing in a yard and an old man is standing in the background  B: A group of boys in a yard is playing and a man is standing in the background
A: A group of children is playing in the house and there is no man standing in the background  B: A group of kids is playing in a yard and an old man is standing in the background
A: The young boys are playing outdoors and the man is smiling nearby  B: The kids are playing outdoors near a man with a smile
A: The kids are playing outdoors near a man with a smile  B: A group of kids is playing in a yard and an old man is standing in the background
A: The young boys are playing outdoors and the man is smiling nearby  B: A group of kids is playing in a yard and an old man is standing in the background
A: Two dogs are fighting  B: Two dogs are wrestling and hugging
A: A brown dog is attacking another animal in front of the man in pants  B: Two dogs are fighting
A: A brown dog is attacking another animal in front of the man in pants  B: Two dogs are wrestling and hugging
A: Nobody is riding the bicycle on one wheel  B: A person in a black jacket is doing tricks on a motorbike
A: A person is riding the bicycle on one wheel  B: A man in a black jacket is doing tricks on a motorbike
A: A person on a black motorbike is doing tricks with a jacket  B: A person is riding the bicycle on one wheel
A: A man with a jersey is dunking the ball at a basketball game  B: The ball is being dunked by a man with a jersey at a basketball game
A: A man with a jersey is dunking the ball at a basketball game  B: A man who is playing dunks the basketball into the net and a crowd is in background
A: The player is dunking the basketball into the net and a crowd is in background  B: A man with a jersey is dunking the ball at a basketball game
A: Two people are kickboxing and spectators are not watching  B: Two people are kickboxing and spectators are watching
A: Two young women are sparring in a kickboxing fight  B: Two women are sparring in a kickboxing match
A: Two young women are not sparring in a kickboxing fight  B: Two women are sparring in a kickboxing match
A: Two people are kickboxing and spectators are watching  B: Two young women are not sparring in a kickboxing fight
A: Two women are sparring in a kickboxing match  B: Two people are kickboxing and spectators are not watching
A: Three boys are jumping in the leaves  B: Three kids are jumping in the leaves
A: Three kids are sitting in the leaves  B: Three kids are jumping in the leaves
A: Children in red shirts are playing in the leaves  B: Three kids are sitting in the leaves
A: Children in red shirts are playing in the leaves  B: Three kids are jumping in the leaves
A: Two angels are making snow on the lying children  B: Two children are lying in the snow and are making snow angels
A: Two children are lying in the snow and are drawing angels  B: Two people in snowsuits are lying in the snow and making snow angels
A: Two people in snowsuits are lying in the snow and making snow angels  B: Two angels are making snow on the lying children
A: Two children are lying in the snow and are making snow angels  B: Two people in snowsuits are lying in the snow and making snow angels
A: People wearing costumes are gathering in a forest and are looking in the same direction  B: Masked people are looking in the same direction in a forest
A: People wearing costumes are gathering in a forest and are looking in the same direction  B: People wearing costumes are scattering in a forest and are looking in different directions
A: People are looking at some costumes gathered in the vicinity of the forest  B: People wearing costumes are gathering in a forest and are looking in the same direction
A: A little girl is looking at a woman in costume  B: People wearing costumes are scattering in a forest and are looking in different directions
A: A little girl is looking at a woman in costume  B: People are looking at some costumes gathered in the vicinity of the forest
A: A young girl is looking at a woman in costume  B: People wearing costumes are gathering in a forest and are looking in the same direction
A: People wearing costumes are gathering in a forest and are looking in the same direction  B: The little girl is looking at a man in costume
A: People wearing costumes are gathering in a forest and are looking in the same direction  B: A little girl in costume looks like a woman
"A: A lone biker is jumping in the air  B: A biker is jumping in the air, alone"
A: There is no biker jumping in the air  B: A lone biker is jumping in the air
A: A man is jumping into an empty pool  B: A man is jumping into a full pool
A: A man is jumping into an empty pool  B: The man's jumper is in the empty pool
A: A lone biker is jumping in the air  B: A man is jumping into a full pool
A: The man's jumper is in the empty pool  B: A lone biker is jumping in the air
A: A lone biker is jumping in the air  B: A man is jumping into an empty pool
A: Four kids are doing backbends in the park  B: Four children are doing backbends in the park
A: Four children are doing backbends in the gym  B: Four children are doing backbends in the park
A: Four girls are doing backbends and playing in the garden  B: Four girls are doing backbends and playing outdoors
A: A man who is playing is running with the ball in his hands  B: A player is running with the ball
